                             	metrics_problem1_sat-hadd  	opt-blind       	sat-hradd      	metrics_problem3_sat-hadd  	opt-hmax       	opt-hrmax      	sat-hadd        	sat-aibr       	metrics_problem4_sat-hadd  	metrics_problem2_sat-hadd
Expanded Nodes               	126.0                      	72595.0         	465.0          	2093.0                     	40179.0        	40179.0        	465.0           	986.0          	159402.0                   	1705.0
Grounding Time               	30.7 +/- 5.01              	30.63 +/- 5.28  	36.17 +/- 7.95 	45.37 +/- 10.36            	27.57 +/- 3.02 	27.93 +/- 3.49 	40.93 +/- 10.77 	35.5 +/- 5.69  	51.9 +/- 5.43              	39.83 +/- 4.87
Heuristic Time (msec)        	35.3 +/- 4.73              	2.03 +/- 1.17   	61.63 +/- 8.67 	255.73 +/- 42.17           	363.0 +/- 15.31	374.7 +/- 18.23	63.03 +/- 9.95  	446.7 +/- 40.16	16238.27 +/- 380.62        	199.03 +/- 13.79
Metric (Search)              	47.0                       	40.0            	60.0           	91.0                       	40.0           	40.0           	60.0            	58.0           	168.0                      	80.0
Number of Dead-Ends detected 	0.0                        	0.0             	1.0            	3.0                        	2644.0         	2644.0         	1.0             	58.0           	16.0                       	0.0
Number of Duplicates detected	101.0                      	51934.0         	464.0          	2487.0                     	26155.0        	26155.0        	464.0           	423.0          	292480.0                   	2026.0
Planning Time (msec)         	336.47 +/- 28.08           	631.97 +/- 25.61	432.7 +/- 47.96	673.53 +/- 121.39          	865.7 +/- 23.23	896.83 +/- 34.5	447.67 +/- 74.51	860.4 +/- 84.29	18769.33 +/- 430.91        	549.87 +/- 24.1
Search Time (msec)           	63.2 +/- 5.7               	432.5 +/- 17.47 	98.33 +/- 10.21	354.03 +/- 64.99           	633.6 +/- 16.14	655.6 +/- 26.33	102.03 +/- 16.14	528.0 +/- 53.59	18453.6 +/- 425.67         	273.33 +/- 16.65
States Evaluated             	507.0                      	72915.0         	1334.0         	10237.0                    	46383.0        	46383.0        	1334.0          	2095.0         	796405.0                   	8342.0
|A|                          	36.0                       	23.0            	22.0           	47.0                       	22.0           	22.0           	22.0            	22.0           	71.0                       	47.0
|E|                          	9.0                        	12.0            	8.0            	10.0                       	8.0            	8.0            	8.0             	8.0            	14.0                       	10.0
|F|                          	32.0                       	38.0            	30.0           	46.0                       	30.0           	30.0           	30.0            	30.0           	78.0                       	46.0
|P|                          	6.0                        	7.0             	7.0            	7.0                        	7.0            	7.0            	7.0             	7.0            	11.0                       	7.0
|X|                          	6.0                        	6.0             	6.0            	5.0                        	6.0            	6.0            	6.0             	6.0            	5.0                        	5.0
